t_sec,pid,parent,name,ws_mb,pb_mb
0.9,26348,36732,audio-desktop.exe,50.4,14.3
0.9,33052,26348,msedgewebview2.exe,149.6,50.3
0.9,15880,26348,audio_server.exe,222.3,287
0.9,34040,33052,msedgewebview2.exe,14,2.9
0.9,18344,34040,msedgewebview2.exe,13.3,2.7
0.9,13020,33052,msedgewebview2.exe,104.9,120.8
0.9,34932,33052,msedgewebview2.exe,42,12.9
0.9,25792,33052,msedgewebview2.exe,22.4,8.8
0.9,4360,33052,msedgewebview2.exe,222.5,145.1
6.2,26348,36732,audio-desktop.exe,50.4,14.3
6.2,33052,26348,msedgewebview2.exe,149.6,50.3
6.2,15880,26348,audio_server.exe,222.3,287
6.2,34040,33052,msedgewebview2.exe,14,2.9
6.2,18344,34040,msedgewebview2.exe,13.3,2.7
6.2,13020,33052,msedgewebview2.exe,104.9,120.8
6.2,34932,33052,msedgewebview2.exe,42,12.9
6.2,25792,33052,msedgewebview2.exe,22.4,8.8
6.2,4360,33052,msedgewebview2.exe,222.5,145.1
11.5,26348,36732,audio-desktop.exe,50.5,14.4
11.5,33052,26348,msedgewebview2.exe,150.1,50.3
11.5,15880,26348,audio_server.exe,222.4,287.1
11.5,34040,33052,msedgewebview2.exe,14.2,3
11.5,18344,34040,msedgewebview2.exe,13.5,2.8
11.5,13020,33052,msedgewebview2.exe,105.1,120.9
11.5,34932,33052,msedgewebview2.exe,42.1,13
11.5,25792,33052,msedgewebview2.exe,22.6,9
11.5,4360,33052,msedgewebview2.exe,222.8,145.2
16.7,26348,36732,audio-desktop.exe,50.5,14.4
16.7,33052,26348,msedgewebview2.exe,150.4,50.6
16.7,15880,26348,audio_server.exe,222.4,287.1
16.7,34040,33052,msedgewebview2.exe,14.2,3
16.7,18344,34040,msedgewebview2.exe,13.5,2.8
16.7,13020,33052,msedgewebview2.exe,105.1,120.9
16.7,34932,33052,msedgewebview2.exe,42.1,13
16.7,25792,33052,msedgewebview2.exe,22.6,9
16.7,4360,33052,msedgewebview2.exe,222.9,145.3
21.9,26348,36732,audio-desktop.exe,50.5,14.4
21.9,33052,26348,msedgewebview2.exe,150.4,50.5
21.9,15880,26348,audio_server.exe,222.4,287.1
21.9,34040,33052,msedgewebview2.exe,14.2,3
21.9,18344,34040,msedgewebview2.exe,13.5,2.8
21.9,13020,33052,msedgewebview2.exe,105.1,120.9
21.9,34932,33052,msedgewebview2.exe,42.1,13
21.9,25792,33052,msedgewebview2.exe,22.6,9
21.9,4360,33052,msedgewebview2.exe,222.9,145.3
27.2,26348,36732,audio-desktop.exe,50.5,14.4
27.2,33052,26348,msedgewebview2.exe,150.4,50.5
27.2,15880,26348,audio_server.exe,222.4,287.1
27.2,34040,33052,msedgewebview2.exe,14.2,3
27.2,18344,34040,msedgewebview2.exe,13.5,2.8
27.2,13020,33052,msedgewebview2.exe,105.1,120.9
27.2,34932,33052,msedgewebview2.exe,42.1,13
27.2,25792,33052,msedgewebview2.exe,22.6,9
27.2,4360,33052,msedgewebview2.exe,222.9,145.3
32.4,26348,36732,audio-desktop.exe,50.5,14.4
32.4,33052,26348,msedgewebview2.exe,150.4,50.5
32.4,15880,26348,audio_server.exe,222.4,287.1
32.4,34040,33052,msedgewebview2.exe,14.2,3
32.4,18344,34040,msedgewebview2.exe,13.5,2.8
32.4,13020,33052,msedgewebview2.exe,105.1,120.9
32.4,34932,33052,msedgewebview2.exe,42.1,13
32.4,25792,33052,msedgewebview2.exe,22.6,9
32.4,4360,33052,msedgewebview2.exe,222.8,145.3
37.6,26348,36732,audio-desktop.exe,50.5,14.4
37.6,33052,26348,msedgewebview2.exe,150.1,50.3
37.6,15880,26348,audio_server.exe,222.4,287.1
37.6,34040,33052,msedgewebview2.exe,14.2,3
37.6,18344,34040,msedgewebview2.exe,13.5,2.8
37.6,13020,33052,msedgewebview2.exe,105.1,120.9
37.6,34932,33052,msedgewebview2.exe,42.1,13
37.6,25792,33052,msedgewebview2.exe,22.6,9
37.6,4360,33052,msedgewebview2.exe,222.8,145.3
42.9,26348,36732,audio-desktop.exe,50.5,14.4
42.9,33052,26348,msedgewebview2.exe,150.1,50.3
42.9,15880,26348,audio_server.exe,222.4,287.1
42.9,34040,33052,msedgewebview2.exe,14.2,3
42.9,18344,34040,msedgewebview2.exe,13.5,2.8
42.9,13020,33052,msedgewebview2.exe,105.1,120.9
42.9,34932,33052,msedgewebview2.exe,42.1,13
42.9,25792,33052,msedgewebview2.exe,22.6,9
42.9,4360,33052,msedgewebview2.exe,222.7,145.3
48.1,26348,36732,audio-desktop.exe,50.5,14.4
48.1,33052,26348,msedgewebview2.exe,150.1,50.3
48.1,15880,26348,audio_server.exe,222.4,287.1
48.1,34040,33052,msedgewebview2.exe,14.2,3
48.1,18344,34040,msedgewebview2.exe,13.5,2.8
48.1,13020,33052,msedgewebview2.exe,105.1,120.9
48.1,34932,33052,msedgewebview2.exe,42.1,13
48.1,25792,33052,msedgewebview2.exe,22.6,9
48.1,4360,33052,msedgewebview2.exe,222.7,145.3
53.3,26348,36732,audio-desktop.exe,50.5,14.4
53.3,33052,26348,msedgewebview2.exe,150.1,50.3
53.3,15880,26348,audio_server.exe,222.4,287.1
53.3,34040,33052,msedgewebview2.exe,14.2,3
53.3,18344,34040,msedgewebview2.exe,13.5,2.8
53.3,13020,33052,msedgewebview2.exe,105.1,120.9
53.3,34932,33052,msedgewebview2.exe,42.1,13
53.3,25792,33052,msedgewebview2.exe,22.6,9
