t_sec;pid;parent;name;ws_mb;pb_mb
0.5;12308;15588;audio-desktop.exe;48.6;13.8
0.5;30740;12308;msedgewebview2.exe;136.1;48
0.5;25632;12308;audio_server.exe;31.6;24.5
0.5;12664;30740;msedgewebview2.exe;19.1;3.3
0.5;33404;30740;msedgewebview2.exe;89.8;130.8
0.5;24788;30740;msedgewebview2.exe;37.7;12.5
0.5;29824;30740;msedgewebview2.exe;21.3;8.8
0.5;35020;30740;msedgewebview2.exe;160;105.8
5.7;12308;15588;audio-desktop.exe;48.6;13.8
5.7;30740;12308;msedgewebview2.exe;136;47.8
5.7;25632;12308;audio_server.exe;31.6;24.5
5.7;12664;30740;msedgewebview2.exe;19.1;3.3
5.7;33404;30740;msedgewebview2.exe;89.7;129.2
5.7;24788;30740;msedgewebview2.exe;37.7;12.5
5.7;29824;30740;msedgewebview2.exe;21.3;8.8
5.7;35020;30740;msedgewebview2.exe;160;105.8
11;12308;15588;audio-desktop.exe;48.6;13.8
11;30740;12308;msedgewebview2.exe;136;47.8
11;25632;12308;audio_server.exe;31.6;24.5
11;12664;30740;msedgewebview2.exe;19.1;3.3
11;33404;30740;msedgewebview2.exe;89.7;129.2
11;24788;30740;msedgewebview2.exe;37.7;12.5
11;29824;30740;msedgewebview2.exe;21.3;8.8
11;35020;30740;msedgewebview2.exe;160;105.8
16.2;12308;15588;audio-desktop.exe;48.6;13.8
16.2;30740;12308;msedgewebview2.exe;136;47.8
16.2;25632;12308;audio_server.exe;31.6;24.5
16.2;12664;30740;msedgewebview2.exe;19.1;3.3
16.2;33404;30740;msedgewebview2.exe;89.3;129.2
16.2;24788;30740;msedgewebview2.exe;37.7;12.5
16.2;29824;30740;msedgewebview2.exe;21.3;8.8
16.2;35020;30740;msedgewebview2.exe;160;105.8
21.4;12308;15588;audio-desktop.exe;48.6;13.8
21.4;30740;12308;msedgewebview2.exe;136;47.8
21.4;25632;12308;audio_server.exe;31.6;24.5
21.4;12664;30740;msedgewebview2.exe;19.1;3.3
21.4;33404;30740;msedgewebview2.exe;89.3;129.2
21.4;24788;30740;msedgewebview2.exe;37.7;12.5
21.4;29824;30740;msedgewebview2.exe;21.3;8.8
21.4;35020;30740;msedgewebview2.exe;160;105.8
