t_sec;pid;parent;name;ws_mb;pb_mb
0.5;6112;33340;audio-desktop.exe;48.6;13.7
0.5;19124;6112;msedgewebview2.exe;136.9;47.3
0.5;18048;6112;audio_server.exe;30.6;23.4
0.5;3204;19124;msedgewebview2.exe;19.1;3.4
0.5;324;19124;msedgewebview2.exe;62.2;24
0.5;33224;19124;msedgewebview2.exe;37.8;12.6
0.5;14504;19124;msedgewebview2.exe;21.6;9.2
0.5;27996;19124;msedgewebview2.exe;172.6;107.4
5.7;6112;33340;audio-desktop.exe;48.6;13.7
5.7;19124;6112;msedgewebview2.exe;136.9;47.3
5.7;18048;6112;audio_server.exe;30.6;23.4
5.7;3204;19124;msedgewebview2.exe;19.1;3.4
5.7;324;19124;msedgewebview2.exe;62.1;23.8
5.7;33224;19124;msedgewebview2.exe;37.8;12.6
5.7;14504;19124;msedgewebview2.exe;21.7;9.2
5.7;27996;19124;msedgewebview2.exe;172.6;107.4
10.9;6112;33340;audio-desktop.exe;48.6;13.7
10.9;19124;6112;msedgewebview2.exe;136.9;47.3
10.9;18048;6112;audio_server.exe;30.6;23.4
10.9;3204;19124;msedgewebview2.exe;19.1;3.4
10.9;324;19124;msedgewebview2.exe;62.1;23.8
10.9;33224;19124;msedgewebview2.exe;37.8;12.6
10.9;14504;19124;msedgewebview2.exe;21.7;9.2
10.9;27996;19124;msedgewebview2.exe;172.6;107.4
16.2;6112;33340;audio-desktop.exe;48.6;13.7
16.2;19124;6112;msedgewebview2.exe;136.9;47.3
16.2;18048;6112;audio_server.exe;30.6;23.4
16.2;3204;19124;msedgewebview2.exe;19.1;3.4
16.2;324;19124;msedgewebview2.exe;62.1;23.8
16.2;33224;19124;msedgewebview2.exe;37.8;12.6
16.2;14504;19124;msedgewebview2.exe;21.7;9.2
16.2;27996;19124;msedgewebview2.exe;172.6;107.4
21.4;6112;33340;audio-desktop.exe;48.6;13.7
21.4;19124;6112;msedgewebview2.exe;136.9;47.3
21.4;18048;6112;audio_server.exe;30.6;23.4
21.4;3204;19124;msedgewebview2.exe;19.1;3.4
21.4;324;19124;msedgewebview2.exe;62.1;23.8
21.4;33224;19124;msedgewebview2.exe;37.8;12.6
21.4;14504;19124;msedgewebview2.exe;21.7;9.2
21.4;27996;19124;msedgewebview2.exe;172.6;107.4
