t_sec;pid;parent;name;ws_mb;pb_mb
0.4;29740;12296;audio-desktop.exe;48.7;13.7
0.4;16060;29740;msedgewebview2.exe;139.4;48.9
0.4;20100;29740;audio_server.exe;30.9;23.7
0.4;9340;16060;msedgewebview2.exe;19.8;3.4
0.4;21964;9340;msedgewebview2.exe;19.1;3.2
0.4;36160;16060;msedgewebview2.exe;93.8;113.5
0.4;29512;16060;msedgewebview2.exe;38.2;13
0.4;5464;16060;msedgewebview2.exe;22.1;8.8
0.4;22532;16060;msedgewebview2.exe;160.2;106
5.7;29740;12296;audio-desktop.exe;48.7;13.7
5.7;16060;29740;msedgewebview2.exe;139;48.4
5.7;20100;29740;audio_server.exe;30.9;23.7
5.7;9340;16060;msedgewebview2.exe;19.8;3.4
5.7;21964;9340;msedgewebview2.exe;19.1;3.2
5.7;36160;16060;msedgewebview2.exe;93.7;110.7
5.7;29512;16060;msedgewebview2.exe;38.2;13
5.7;5464;16060;msedgewebview2.exe;22.1;8.8
5.7;22532;16060;msedgewebview2.exe;160.2;106
10.9;29740;12296;audio-desktop.exe;48.7;13.7
10.9;16060;29740;msedgewebview2.exe;139;48.4
10.9;20100;29740;audio_server.exe;30.9;23.7
10.9;9340;16060;msedgewebview2.exe;19.8;3.4
10.9;21964;9340;msedgewebview2.exe;19.1;3.2
10.9;36160;16060;msedgewebview2.exe;93.4;110.6
10.9;29512;16060;msedgewebview2.exe;38.2;13
10.9;5464;16060;msedgewebview2.exe;22.1;8.8
10.9;22532;16060;msedgewebview2.exe;160.2;106
16.2;29740;12296;audio-desktop.exe;48.7;13.7
16.2;16060;29740;msedgewebview2.exe;139;48.4
16.2;20100;29740;audio_server.exe;30.9;23.7
16.2;9340;16060;msedgewebview2.exe;19.8;3.4
16.2;21964;9340;msedgewebview2.exe;19.1;3.2
16.2;36160;16060;msedgewebview2.exe;93.4;110.6
16.2;29512;16060;msedgewebview2.exe;38.2;13
16.2;5464;16060;msedgewebview2.exe;22.1;8.8
16.2;22532;16060;msedgewebview2.exe;160.2;106
21.4;29740;12296;audio-desktop.exe;48.7;13.7
21.4;16060;29740;msedgewebview2.exe;139;48.4
21.4;20100;29740;audio_server.exe;30.9;23.7
21.4;9340;16060;msedgewebview2.exe;19.8;3.4
21.4;21964;9340;msedgewebview2.exe;19.1;3.2
21.4;36160;16060;msedgewebview2.exe;93.4;110.6
21.4;29512;16060;msedgewebview2.exe;38.2;13
21.4;5464;16060;msedgewebview2.exe;22.1;8.8
21.4;22532;16060;msedgewebview2.exe;160.2;106
