t_sec;pid;parent;name;ws_mb;pb_mb
0.4;9996;14624;audio-desktop.exe;48.6;13.8
0.4;35716;9996;msedgewebview2.exe;140.2;49.8
0.4;29432;9996;audio_server.exe;40.6;23.4
0.4;28696;35716;msedgewebview2.exe;22.3;3.4
0.4;22924;35716;msedgewebview2.exe;87.4;116.2
0.4;13652;35716;msedgewebview2.exe;41.5;12.6
0.4;23908;35716;msedgewebview2.exe;25.1;8.8
0.4;3212;35716;msedgewebview2.exe;162.5;104.9
5.6;9996;14624;audio-desktop.exe;48.6;13.8
5.6;35716;9996;msedgewebview2.exe;140;49.5
5.6;29432;9996;audio_server.exe;40.6;23.4
5.6;28696;35716;msedgewebview2.exe;22.3;3.4
5.6;22924;35716;msedgewebview2.exe;87.4;116.2
5.6;13652;35716;msedgewebview2.exe;41.5;12.6
5.6;23908;35716;msedgewebview2.exe;25.1;8.8
5.6;3212;35716;msedgewebview2.exe;162.5;104.9
10.8;9996;14624;audio-desktop.exe;48.6;13.8
10.8;35716;9996;msedgewebview2.exe;140;49.5
10.8;29432;9996;audio_server.exe;40.6;23.4
10.8;28696;35716;msedgewebview2.exe;22.3;3.4
10.8;22924;35716;msedgewebview2.exe;87.4;116.2
10.8;13652;35716;msedgewebview2.exe;41.5;12.6
10.8;23908;35716;msedgewebview2.exe;25.1;8.8
10.8;3212;35716;msedgewebview2.exe;162.5;104.9
16;9996;14624;audio-desktop.exe;48.6;13.8
16;35716;9996;msedgewebview2.exe;140;49.5
16;29432;9996;audio_server.exe;40.6;23.4
16;28696;35716;msedgewebview2.exe;22.3;3.4
16;22924;35716;msedgewebview2.exe;87.4;116.2
16;13652;35716;msedgewebview2.exe;41.5;12.6
16;23908;35716;msedgewebview2.exe;25.1;8.8
16;3212;35716;msedgewebview2.exe;162.5;104.9
21.2;9996;14624;audio-desktop.exe;48.5;13.7
21.2;35716;9996;msedgewebview2.exe;140;49.4
21.2;29432;9996;audio_server.exe;40.6;23.4
21.2;28696;35716;msedgewebview2.exe;16.6;3.1
21.2;22924;35716;msedgewebview2.exe;87.4;116.2
21.2;13652;35716;msedgewebview2.exe;41.5;12.6
21.2;23908;35716;msedgewebview2.exe;25.1;8.8
21.2;3212;35716;msedgewebview2.exe;162.5;104.9
