t_sec;pid;parent;name;ws_mb;pb_mb
0.4;32740;12820;audio-desktop.exe;48.8;14.9
0.4;33944;32740;msedgewebview2.exe;137.3;45.7
0.4;31208;32740;audio_server.exe;40.7;24.3
0.4;13260;33944;msedgewebview2.exe;22.3;3.4
0.4;28272;33944;msedgewebview2.exe;87.3;116.8
0.4;34644;33944;msedgewebview2.exe;41.6;12.5
0.4;24924;33944;msedgewebview2.exe;25.3;8.8
0.4;20868;33944;msedgewebview2.exe;160.4;104.5
5.7;32740;12820;audio-desktop.exe;48.8;14.9
5.7;33944;32740;msedgewebview2.exe;137.1;45.4
5.7;31208;32740;audio_server.exe;40.7;24.3
5.7;13260;33944;msedgewebview2.exe;22.3;3.4
5.7;28272;33944;msedgewebview2.exe;87.3;116.8
5.7;34644;33944;msedgewebview2.exe;41.6;12.5
5.7;24924;33944;msedgewebview2.exe;25.3;8.8
5.7;20868;33944;msedgewebview2.exe;160.4;104.5
10.9;32740;12820;audio-desktop.exe;48.8;14.9
10.9;33944;32740;msedgewebview2.exe;137.1;45.4
10.9;31208;32740;audio_server.exe;40.7;24.3
10.9;13260;33944;msedgewebview2.exe;22.3;3.4
10.9;28272;33944;msedgewebview2.exe;87.3;116.8
10.9;34644;33944;msedgewebview2.exe;41.6;12.5
10.9;24924;33944;msedgewebview2.exe;25.3;8.8
10.9;20868;33944;msedgewebview2.exe;160.4;104.5
16.1;32740;12820;audio-desktop.exe;48.8;14.9
16.1;33944;32740;msedgewebview2.exe;137.1;45.4
16.1;31208;32740;audio_server.exe;40.7;24.3
16.1;13260;33944;msedgewebview2.exe;22.3;3.4
16.1;28272;33944;msedgewebview2.exe;87.3;116.8
16.1;34644;33944;msedgewebview2.exe;41.6;12.5
16.1;24924;33944;msedgewebview2.exe;25.3;8.8
16.1;20868;33944;msedgewebview2.exe;160.4;104.5
21.3;32740;12820;audio-desktop.exe;48.7;14.8
21.3;33944;32740;msedgewebview2.exe;142.9;47.3
21.3;31208;32740;audio_server.exe;40.7;24.3
21.3;13260;33944;msedgewebview2.exe;16.6;3.1
21.3;28272;33944;msedgewebview2.exe;87.4;116.8
21.3;34644;33944;msedgewebview2.exe;42.4;12.5
21.3;24924;33944;msedgewebview2.exe;25.4;8.8
21.3;20868;33944;msedgewebview2.exe;160.5;104.5
