t_sec,pid,parent,name,ws_mb,pb_mb
0.8,6888,27996,audio_server.exe,67,47
0.8,19212,28280,audio-desktop.exe,36.4,7.3
0.8,36468,19212,msedgewebview2.exe,142,48.2
0.8,35368,19212,audio_server.exe,41.3,24.3
0.8,32716,36468,msedgewebview2.exe,19.6,3.4
0.8,36700,36468,msedgewebview2.exe,90.8,141.9
0.8,15636,36468,msedgewebview2.exe,40.1,13
0.8,24752,36468,msedgewebview2.exe,21.8,9
0.8,27248,36468,msedgewebview2.exe,116.3,58.4
11.2,6888,27996,audio_server.exe,67,47.1
11.2,19212,28280,audio-desktop.exe,36.4,7.3
11.2,36468,19212,msedgewebview2.exe,141.1,47.4
11.2,35368,19212,audio_server.exe,39.6,22.4
11.2,32716,36468,msedgewebview2.exe,13.8,3.2
11.2,36700,36468,msedgewebview2.exe,90.8,141.8
11.2,15636,36468,msedgewebview2.exe,40,12.7
11.2,24752,36468,msedgewebview2.exe,21.6,8.8
11.2,27248,36468,msedgewebview2.exe,116.3,58.4
21.5,6888,27996,audio_server.exe,67,47.1
21.5,19212,28280,audio-desktop.exe,36.4,7.3
21.5,36468,19212,msedgewebview2.exe,141.1,47.4
21.5,35368,19212,audio_server.exe,39.6,22.4
21.5,32716,36468,msedgewebview2.exe,13.8,3.2
21.5,36700,36468,msedgewebview2.exe,90.8,141.8
21.5,15636,36468,msedgewebview2.exe,40,12.7
21.5,24752,36468,msedgewebview2.exe,21.6,8.8
21.5,27248,36468,msedgewebview2.exe,116.3,58.4
31.8,6888,27996,audio_server.exe,67,47.1
31.8,19212,28280,audio-desktop.exe,36.4,7.3
31.8,36468,19212,msedgewebview2.exe,140.8,47
31.8,35368,19212,audio_server.exe,39.6,22.6
31.8,32716,36468,msedgewebview2.exe,13.8,3.2
31.8,36700,36468,msedgewebview2.exe,90.8,141.8
31.8,15636,36468,msedgewebview2.exe,40,12.7
31.8,24752,36468,msedgewebview2.exe,21.6,8.8
31.8,27248,36468,msedgewebview2.exe,116.3,58.4
42.1,6888,27996,audio_server.exe,67,47.1
42.1,19212,28280,audio-desktop.exe,36.4,7.3
42.1,36468,19212,msedgewebview2.exe,140.7,46.9
42.1,35368,19212,audio_server.exe,39.6,22.6
42.1,32716,36468,msedgewebview2.exe,13.8,3.2
42.1,36700,36468,msedgewebview2.exe,90.8,141.8
42.1,15636,36468,msedgewebview2.exe,40,12.7
42.1,24752,36468,msedgewebview2.exe,21.6,8.8
42.1,27248,36468,msedgewebview2.exe,113.1,54.8
52.3,6888,27996,audio_server.exe,67,47.1
52.3,19212,28280,audio-desktop.exe,36.4,7.3
52.3,36468,19212,msedgewebview2.exe,140.6,46.8
52.3,35368,19212,audio_server.exe,39.6,22.6
52.3,32716,36468,msedgewebview2.exe,13.8,3.2
52.3,36700,36468,msedgewebview2.exe,90.8,141.8
52.3,15636,36468,msedgewebview2.exe,40,12.7
52.3,24752,36468,msedgewebview2.exe,21.6,8.8
52.3,27248,36468,msedgewebview2.exe,113.1,54.8
62.6,6888,27996,audio_server.exe,67,47.1
62.6,19212,28280,audio-desktop.exe,36.4,7.3
62.6,36468,19212,msedgewebview2.exe,140.8,46.7
62.6,35368,19212,audio_server.exe,39.6,22.6
62.6,32716,36468,msedgewebview2.exe,13.8,3.2
62.6,36700,36468,msedgewebview2.exe,90.9,141.8
62.6,15636,36468,msedgewebview2.exe,40,12.7
62.6,24752,36468,msedgewebview2.exe,21.6,8.8
62.6,27248,36468,msedgewebview2.exe,113.1,54.8
72.8,6888,27996,audio_server.exe,67,47.1
72.8,19212,28280,audio-desktop.exe,36.3,7.1
72.8,36468,19212,msedgewebview2.exe,140.8,46.6
72.8,35368,19212,audio_server.exe,39.6,22.6
72.8,32716,36468,msedgewebview2.exe,13.7,3.1
72.8,36700,36468,msedgewebview2.exe,90.9,141.8
72.8,15636,36468,msedgewebview2.exe,39.9,12.6
72.8,24752,36468,msedgewebview2.exe,21.6,8.8
72.8,27248,36468,msedgewebview2.exe,113.1,54.8
83.1,6888,27996,audio_server.exe,67,47.1
83.1,19212,28280,audio-desktop.exe,36.3,7.1
83.1,36468,19212,msedgewebview2.exe,140.8,46.6
83.1,35368,19212,audio_server.exe,39.6,22.6
83.1,32716,36468,msedgewebview2.exe,13.7,3.1
83.1,36700,36468,msedgewebview2.exe,91.1,141.8
83.1,15636,36468,msedgewebview2.exe,39.9,12.6
83.1,24752,36468,msedgewebview2.exe,21.6,8.8
83.1,27248,36468,msedgewebview2.exe,113.1,54.8
93.4,6888,27996,audio_server.exe,67,47
93.4,19212,28280,audio-desktop.exe,36.3,7.1
93.4,36468,19212,msedgewebview2.exe,140.8,46.5
93.4,35368,19212,audio_server.exe,39.6,22.6
93.4,32716,36468,msedgewebview2.exe,13.7,3
93.4,36700,36468,msedgewebview2.exe,91.1,141.8
93.4,15636,36468,msedgewebview2.exe,39.9,12.6
93.4,24752,36468,msedgewebview2.exe,21.6,8.8
93.4,27248,36468,msedgewebview2.exe,113.1,54.8
103.6,6888,27996,audio_server.exe,67,47
103.6,19212,28280,audio-desktop.exe,36.3,7.1
103.6,36468,19212,msedgewebview2.exe,140.7,46.5
103.6,35368,19212,audio_server.exe,39.6,22.6
103.6,32716,36468,msedgewebview2.exe,13.7,3
103.6,36700,36468,msedgewebview2.exe,91.3,141.8
103.6,15636,36468,msedgewebview2.exe,39.9,12.6
103.6,24752,36468,msedgewebview2.exe,21.6,8.8
103.6,27248,36468,msedgewebview2.exe,113.1,54.8
113.9,6888,27996,audio_server.exe,67,47
113.9,19212,28280,audio-desktop.exe,36.3,7.1
113.9,36468,19212,msedgewebview2.exe,140.7,46.5
113.9,35368,19212,audio_server.exe,39.6,22.6
113.9,32716,36468,msedgewebview2.exe,13.7,3
113.9,36700,36468,msedgewebview2.exe,91.9,141.7
113.9,15636,36468,msedgewebview2.exe,39.9,12.6
113.9,24752,36468,msedgewebview2.exe,21.6,8.8
113.9,27248,36468,msedgewebview2.exe,113.1,54.8
124.2,6888,27996,audio_server.exe,67,47
124.2,19212,28280,audio-desktop.exe,36.3,7.1
124.2,36468,19212,msedgewebview2.exe,140.7,46.5
124.2,35368,19212,audio_server.exe,39.6,22.6
124.2,32716,36468,msedgewebview2.exe,13.7,3
124.2,36700,36468,msedgewebview2.exe,91.9,141.7
124.2,15636,36468,msedgewebview2.exe,40,12.6
124.2,24752,36468,msedgewebview2.exe,21.6,8.8
124.2,27248,36468,msedgewebview2.exe,113.1,54.8
134.4,6888,27996,audio_server.exe,67,47
134.4,19212,28280,audio-desktop.exe,36.3,7.1
134.4,36468,19212,msedgewebview2.exe,140.7,46.6
134.4,35368,19212,audio_server.exe,39.6,22.6
134.4,32716,36468,msedgewebview2.exe,13.7,3
134.4,36700,36468,msedgewebview2.exe,91.9,141.7
134.4,15636,36468,msedgewebview2.exe,40,12.6
134.4,24752,36468,msedgewebview2.exe,21.6,8.8
134.4,27248,36468,msedgewebview2.exe,113.1,54.8
144.7,6888,27996,audio_server.exe,67,47
144.7,19212,28280,audio-desktop.exe,36.3,7.1
144.7,36468,19212,msedgewebview2.exe,140.7,46.5
144.7,35368,19212,audio_server.exe,39.6,22.6
144.7,32716,36468,msedgewebview2.exe,13.6,2.9
144.7,36700,36468,msedgewebview2.exe,91.9,141.7
144.7,15636,36468,msedgewebview2.exe,40,12.6
144.7,24752,36468,msedgewebview2.exe,21.6,8.8
144.7,27248,36468,msedgewebview2.exe,113.1,54.8
154.9,6888,27996,audio_server.exe,67,47
154.9,19212,28280,audio-desktop.exe,36.3,7.1
154.9,36468,19212,msedgewebview2.exe,140.7,46.5
154.9,35368,19212,audio_server.exe,39.6,22.6
154.9,32716,36468,msedgewebview2.exe,13.6,2.9
154.9,36700,36468,msedgewebview2.exe,91.9,141.7
154.9,15636,36468,msedgewebview2.exe,40,12.6
154.9,24752,36468,msedgewebview2.exe,21.6,8.8
154.9,27248,36468,msedgewebview2.exe,113.1,54.8
165.2,6888,27996,audio_server.exe,67,47.1
165.2,19212,28280,audio-desktop.exe,36.3,7.1
165.2,36468,19212,msedgewebview2.exe,140.6,46.4
165.2,35368,19212,audio_server.exe,39.6,22.6
165.2,32716,36468,msedgewebview2.exe,13.6,2.9
165.2,36700,36468,msedgewebview2.exe,91.9,141.7
165.2,15636,36468,msedgewebview2.exe,40,12.6
165.2,24752,36468,msedgewebview2.exe,21.6,8.8
165.2,27248,36468,msedgewebview2.exe,112.5,54.8
175.5,6888,27996,audio_server.exe,67,47.1
175.5,19212,28280,audio-desktop.exe,36.3,7.1
175.5,36468,19212,msedgewebview2.exe,140.7,46.5
175.5,35368,19212,audio_server.exe,39.6,22.6
175.5,32716,36468,msedgewebview2.exe,13.6,2.8
175.5,36700,36468,msedgewebview2.exe,91.8,141.7
175.5,15636,36468,msedgewebview2.exe,39.9,12.5
175.5,24752,36468,msedgewebview2.exe,21.6,8.8
175.5,27248,36468,msedgewebview2.exe,112.5,54.8
185.7,6888,27996,audio_server.exe,67,47.1
185.7,19212,28280,audio-desktop.exe,36.3,7.2
185.7,36468,19212,msedgewebview2.exe,140.7,46.4
185.7,35368,19212,audio_server.exe,39.6,22.6
185.7,32716,36468,msedgewebview2.exe,13.6,2.8
185.7,36700,36468,msedgewebview2.exe,91.9,141.7
185.7,15636,36468,msedgewebview2.exe,39.9,12.6
185.7,24752,36468,msedgewebview2.exe,21.6,8.8
185.7,27248,36468,msedgewebview2.exe,112.5,54.8
196,6888,27996,audio_server.exe,67,47.1
196,19212,28280,audio-desktop.exe,36.3,7.2
196,36468,19212,msedgewebview2.exe,140.7,46.4
196,35368,19212,audio_server.exe,39.6,22.6
196,32716,36468,msedgewebview2.exe,13.6,2.8
196,36700,36468,msedgewebview2.exe,91.9,141.7
196,15636,36468,msedgewebview2.exe,39.9,12.6
196,24752,36468,msedgewebview2.exe,21.6,8.8
196,27248,36468,msedgewebview2.exe,112.5,54.8
206.3,6888,27996,audio_server.exe,67,47.1
206.3,19212,28280,audio-desktop.exe,36.3,7.1
206.3,36468,19212,msedgewebview2.exe,140.7,46.4
206.3,35368,19212,audio_server.exe,39.6,22.6
206.3,32716,36468,msedgewebview2.exe,13.6,2.8
206.3,36700,36468,msedgewebview2.exe,91.9,141.7
206.3,15636,36468,msedgewebview2.exe,39.9,12.6
206.3,24752,36468,msedgewebview2.exe,21.6,8.8
206.3,27248,36468,msedgewebview2.exe,112.5,54.8
216.5,6888,27996,audio_server.exe,67,47.1
216.5,19212,28280,audio-desktop.exe,36.3,7.1
216.5,36468,19212,msedgewebview2.exe,140.7,46.4
216.5,35368,19212,audio_server.exe,39.6,22.6
216.5,32716,36468,msedgewebview2.exe,13.6,2.8
216.5,36700,36468,msedgewebview2.exe,91.9,141.7
216.5,15636,36468,msedgewebview2.exe,39.9,12.6
216.5,24752,36468,msedgewebview2.exe,21.6,8.8
216.5,27248,36468,msedgewebview2.exe,112.5,54.8
226.7,6888,27996,audio_server.exe,67,47
226.7,19212,28280,audio-desktop.exe,36.3,7.2
226.7,36468,19212,msedgewebview2.exe,140.7,46.4
226.7,35368,19212,audio_server.exe,39.6,22.6
226.7,32716,36468,msedgewebview2.exe,13.6,2.8
226.7,36700,36468,msedgewebview2.exe,91.9,141.7
226.7,15636,36468,msedgewebview2.exe,39.9,12.6
226.7,24752,36468,msedgewebview2.exe,21.6,8.8
226.7,27248,36468,msedgewebview2.exe,112.5,54.8
237,6888,27996,audio_server.exe,67,47
237,19212,28280,audio-desktop.exe,36.5,7.2
237,36468,19212,msedgewebview2.exe,141.1,46.5
237,35368,19212,audio_server.exe,39.8,22.6
237,32716,36468,msedgewebview2.exe,13.8,3
237,36700,36468,msedgewebview2.exe,92.1,141.8
237,15636,36468,msedgewebview2.exe,40.1,12.7
237,24752,36468,msedgewebview2.exe,21.8,9
237,27248,36468,msedgewebview2.exe,110.7,55
247.3,6888,27996,audio_server.exe,67,47
247.3,19212,28280,audio-desktop.exe,36.5,7.2
247.3,36468,19212,msedgewebview2.exe,141.1,46.5
247.3,35368,19212,audio_server.exe,39.8,22.6
247.3,32716,36468,msedgewebview2.exe,13.8,3
247.3,36700,36468,msedgewebview2.exe,92.1,141.8
247.3,15636,36468,msedgewebview2.exe,40.1,12.7
247.3,24752,36468,msedgewebview2.exe,21.8,9
247.3,27248,36468,msedgewebview2.exe,111,55.3
257.5,6888,27996,audio_server.exe,67,47
257.5,19212,28280,audio-desktop.exe,36.5,7.2
257.5,36468,19212,msedgewebview2.exe,141.1,46.5
257.5,35368,19212,audio_server.exe,39.8,22.6
257.5,32716,36468,msedgewebview2.exe,13.8,3
257.5,36700,36468,msedgewebview2.exe,92.1,141.8
257.5,15636,36468,msedgewebview2.exe,40.1,12.7
257.5,24752,36468,msedgewebview2.exe,21.8,9
257.5,27248,36468,msedgewebview2.exe,111,55.3
267.8,6888,27996,audio_server.exe,67,47
267.8,19212,28280,audio-desktop.exe,36.5,7.2
267.8,36468,19212,msedgewebview2.exe,141.1,46.5
267.8,35368,19212,audio_server.exe,39.8,22.6
267.8,32716,36468,msedgewebview2.exe,13.8,3
267.8,36700,36468,msedgewebview2.exe,92.7,141.8
267.8,15636,36468,msedgewebview2.exe,40.1,12.7
267.8,24752,36468,msedgewebview2.exe,21.8,9
267.8,27248,36468,msedgewebview2.exe,111,55.3
278,6888,27996,audio_server.exe,67,47
278,19212,28280,audio-desktop.exe,36.5,7.2
278,36468,19212,msedgewebview2.exe,141.1,46.5
278,35368,19212,audio_server.exe,39.8,22.6
278,32716,36468,msedgewebview2.exe,13.8,3
278,36700,36468,msedgewebview2.exe,92.7,141.8
278,15636,36468,msedgewebview2.exe,40.1,12.7
278,24752,36468,msedgewebview2.exe,21.8,9
278,27248,36468,msedgewebview2.exe,110.9,55.3
288.3,6888,27996,audio_server.exe,67,47
288.3,19212,28280,audio-desktop.exe,36.5,7.2
288.3,36468,19212,msedgewebview2.exe,141.1,46.5
288.3,35368,19212,audio_server.exe,39.8,22.6
288.3,32716,36468,msedgewebview2.exe,13.8,3
288.3,36700,36468,msedgewebview2.exe,92.7,141.8
288.3,15636,36468,msedgewebview2.exe,40.1,12.7
288.3,24752,36468,msedgewebview2.exe,21.8,9
288.3,27248,36468,msedgewebview2.exe,110.9,55.3
298.6,6888,27996,audio_server.exe,67,47.1
298.6,19212,28280,audio-desktop.exe,36.6,7.3
298.6,36468,19212,msedgewebview2.exe,141.2,46.6
298.6,35368,19212,audio_server.exe,39.8,22.6
298.6,32716,36468,msedgewebview2.exe,13.8,3
298.6,36700,36468,msedgewebview2.exe,92.8,141.8
298.6,15636,36468,msedgewebview2.exe,40.2,12.7
298.6,24752,36468,msedgewebview2.exe,21.8,9
298.6,27248,36468,msedgewebview2.exe,110.9,55.3
308.9,6888,27996,audio_server.exe,67,47.1
308.9,19212,28280,audio-desktop.exe,36.6,7.3
308.9,36468,19212,msedgewebview2.exe,141.2,46.6
308.9,35368,19212,audio_server.exe,39.8,22.6
308.9,32716,36468,msedgewebview2.exe,13.8,3
308.9,36700,36468,msedgewebview2.exe,92.8,141.8
308.9,15636,36468,msedgewebview2.exe,40.2,12.7
308.9,24752,36468,msedgewebview2.exe,21.8,9
308.9,27248,36468,msedgewebview2.exe,109.8,55.3
319.1,6888,27996,audio_server.exe,67,47.1
319.1,19212,28280,audio-desktop.exe,36.6,7.3
319.1,36468,19212,msedgewebview2.exe,141.2,46.6
319.1,35368,19212,audio_server.exe,39.8,22.6
319.1,32716,36468,msedgewebview2.exe,13.8,3
319.1,36700,36468,msedgewebview2.exe,92.8,141.8
319.1,15636,36468,msedgewebview2.exe,40.2,12.7
319.1,24752,36468,msedgewebview2.exe,21.8,9
319.1,27248,36468,msedgewebview2.exe,108.8,55.3
329.4,6888,27996,audio_server.exe,67,47.1
329.4,19212,28280,audio-desktop.exe,36.6,7.3
329.4,36468,19212,msedgewebview2.exe,141.2,46.6
329.4,35368,19212,audio_server.exe,39.8,22.6
329.4,32716,36468,msedgewebview2.exe,13.8,3
329.4,36700,36468,msedgewebview2.exe,92.8,141.8
329.4,15636,36468,msedgewebview2.exe,40.2,12.7
329.4,24752,36468,msedgewebview2.exe,21.8,9
329.4,27248,36468,msedgewebview2.exe,108.8,55.3
339.6,6888,27996,audio_server.exe,67,47.1
339.6,19212,28280,audio-desktop.exe,36.5,7.2
339.6,36468,19212,msedgewebview2.exe,141.2,46.5
339.6,35368,19212,audio_server.exe,39.8,22.6
339.6,32716,36468,msedgewebview2.exe,13.8,2.9
339.6,36700,36468,msedgewebview2.exe,92.8,141.7
339.6,15636,36468,msedgewebview2.exe,40.2,12.6
339.6,24752,36468,msedgewebview2.exe,21.8,8.9
339.6,27248,36468,msedgewebview2.exe,108.8,55.2
349.9,6888,27996,audio_server.exe,67,47.1
349.9,19212,28280,audio-desktop.exe,36.5,7.2
349.9,36468,19212,msedgewebview2.exe,141.2,46.5
349.9,35368,19212,audio_server.exe,39.8,22.6
349.9,32716,36468,msedgewebview2.exe,13.8,2.9
349.9,36700,36468,msedgewebview2.exe,92.8,141.7
349.9,15636,36468,msedgewebview2.exe,40.2,12.6
349.9,24752,36468,msedgewebview2.exe,21.8,8.9
349.9,27248,36468,msedgewebview2.exe,108.8,55.2
360.1,6888,27996,audio_server.exe,67,47.1
360.1,19212,28280,audio-desktop.exe,36.5,7.2
360.1,36468,19212,msedgewebview2.exe,141.2,46.5
360.1,35368,19212,audio_server.exe,39.8,22.6
360.1,32716,36468,msedgewebview2.exe,13.8,2.9
360.1,36700,36468,msedgewebview2.exe,92.8,141.7
360.1,15636,36468,msedgewebview2.exe,40.2,12.7
360.1,24752,36468,msedgewebview2.exe,21.8,8.9
360.1,27248,36468,msedgewebview2.exe,108.8,55.2
370.4,6888,27996,audio_server.exe,67,47.1
370.4,19212,28280,audio-desktop.exe,36.5,7.2
370.4,36468,19212,msedgewebview2.exe,141.2,46.5
