t_sec,pid,parent,name,ws_mb,pb_mb
1,26348,36732,audio-desktop.exe,36.5,7.5
1,33052,26348,msedgewebview2.exe,136.4,45.9
1,15880,26348,audio_server.exe,31.5,23.1
1,34040,33052,msedgewebview2.exe,19.9,3.4
1,18344,34040,msedgewebview2.exe,19.2,3.2
1,13020,33052,msedgewebview2.exe,94.3,149.5
1,34932,33052,msedgewebview2.exe,40.2,12.7
1,25792,33052,msedgewebview2.exe,22.2,8.9
1,4360,33052,msedgewebview2.exe,119.2,61.7
6.2,26348,36732,audio-desktop.exe,36.4,7.4
6.2,33052,26348,msedgewebview2.exe,142.8,47.5
6.2,15880,26348,audio_server.exe,31.5,23.1
6.2,34040,33052,msedgewebview2.exe,14.1,3.1
6.2,18344,34040,msedgewebview2.exe,13.4,2.9
6.2,13020,33052,msedgewebview2.exe,94.4,149.5
6.2,34932,33052,msedgewebview2.exe,40.6,12.9
6.2,25792,33052,msedgewebview2.exe,22.6,9
6.2,4360,33052,msedgewebview2.exe,120,62.1
11.5,26348,36732,audio-desktop.exe,36.4,7.4
11.5,33052,26348,msedgewebview2.exe,142.9,47.6
11.5,15880,26348,audio_server.exe,31.5,23.1
11.5,34040,33052,msedgewebview2.exe,14.1,3.1
11.5,18344,34040,msedgewebview2.exe,13.4,2.9
11.5,13020,33052,msedgewebview2.exe,94.4,149.4
11.5,34932,33052,msedgewebview2.exe,40.5,12.7
11.5,25792,33052,msedgewebview2.exe,22.4,8.8
11.5,4360,33052,msedgewebview2.exe,120,62.1
16.7,26348,36732,audio-desktop.exe,36.4,7.4
16.7,33052,26348,msedgewebview2.exe,142.9,47.7
16.7,15880,26348,audio_server.exe,31.5,23.1
16.7,34040,33052,msedgewebview2.exe,14.1,3.1
16.7,18344,34040,msedgewebview2.exe,13.4,2.9
16.7,13020,33052,msedgewebview2.exe,101.5,156.2
16.7,34932,33052,msedgewebview2.exe,40.9,13
16.7,25792,33052,msedgewebview2.exe,22.4,8.8
16.7,4360,33052,msedgewebview2.exe,125.8,66
22,26348,36732,audio-desktop.exe,36.4,7.4
22,33052,26348,msedgewebview2.exe,143,47.7
22,15880,26348,audio_server.exe,31.5,23.1
22,34040,33052,msedgewebview2.exe,14.1,3.1
22,18344,34040,msedgewebview2.exe,13.4,2.9
22,13020,33052,msedgewebview2.exe,110.3,191.9
22,34932,33052,msedgewebview2.exe,41.7,13.6
22,25792,33052,msedgewebview2.exe,22.4,8.8
