t_sec;pid;parent;name;ws_mb;pb_mb
0.5;36536;2844;audio-desktop.exe;48.7;13.8
0.5;32712;36536;msedgewebview2.exe;137;47.6
0.5;27932;36536;audio_server.exe;31.5;24.5
0.5;20384;32712;msedgewebview2.exe;19.1;3.4
0.5;12480;32712;msedgewebview2.exe;62.2;24
0.5;19692;32712;msedgewebview2.exe;37.8;12.6
0.5;34020;32712;msedgewebview2.exe;21.3;8.8
0.5;25496;32712;msedgewebview2.exe;169.3;104
5.7;36536;2844;audio-desktop.exe;48.7;13.8
5.7;32712;36536;msedgewebview2.exe;136.5;47.1
5.7;27932;36536;audio_server.exe;31.5;24.5
5.7;20384;32712;msedgewebview2.exe;19.1;3.4
5.7;12480;32712;msedgewebview2.exe;62.1;23.8
5.7;19692;32712;msedgewebview2.exe;37.8;12.6
5.7;34020;32712;msedgewebview2.exe;21.3;8.8
5.7;25496;32712;msedgewebview2.exe;169.3;104
11;36536;2844;audio-desktop.exe;48.7;13.8
11;32712;36536;msedgewebview2.exe;136.5;47.1
11;27932;36536;audio_server.exe;31.5;24.5
11;20384;32712;msedgewebview2.exe;19.1;3.4
11;12480;32712;msedgewebview2.exe;62.1;23.8
11;19692;32712;msedgewebview2.exe;37.8;12.6
11;34020;32712;msedgewebview2.exe;21.3;8.8
11;25496;32712;msedgewebview2.exe;169.3;104
16.2;36536;2844;audio-desktop.exe;48.7;13.8
16.2;32712;36536;msedgewebview2.exe;136.5;47.1
16.2;27932;36536;audio_server.exe;31.5;24.5
16.2;20384;32712;msedgewebview2.exe;19.1;3.4
16.2;12480;32712;msedgewebview2.exe;62.1;23.8
16.2;19692;32712;msedgewebview2.exe;37.8;12.6
16.2;34020;32712;msedgewebview2.exe;21.3;8.8
16.2;25496;32712;msedgewebview2.exe;169.3;104
21.4;36536;2844;audio-desktop.exe;48.7;13.8
21.4;32712;36536;msedgewebview2.exe;136.5;47.1
21.4;27932;36536;audio_server.exe;31.5;24.5
21.4;20384;32712;msedgewebview2.exe;19.1;3.4
21.4;12480;32712;msedgewebview2.exe;62.1;23.8
21.4;19692;32712;msedgewebview2.exe;37.8;12.6
21.4;34020;32712;msedgewebview2.exe;21.3;8.8
21.4;25496;32712;msedgewebview2.exe;169.3;104
