t_sec;pid;parent;name;ws_mb;pb_mb
0.4;32760;34880;audio-desktop.exe;48.4;13.4
0.4;32320;32760;msedgewebview2.exe;140;47.9
0.4;31280;32760;audio_server.exe;40.9;23.8
0.4;21324;32320;msedgewebview2.exe;22.3;3.4
0.4;34412;32320;msedgewebview2.exe;61;19.8
0.4;13916;32320;msedgewebview2.exe;40.8;12.6
0.4;33616;32320;msedgewebview2.exe;24.4;8.8
0.4;11792;32320;msedgewebview2.exe;175;106
5.6;32760;34880;audio-desktop.exe;48.4;13.4
5.6;32320;32760;msedgewebview2.exe;139.8;47.5
5.6;31280;32760;audio_server.exe;40.9;23.8
5.6;21324;32320;msedgewebview2.exe;22.3;3.4
5.6;34412;32320;msedgewebview2.exe;61;19.8
5.6;13916;32320;msedgewebview2.exe;40.8;12.6
5.6;33616;32320;msedgewebview2.exe;24.4;8.8
5.6;11792;32320;msedgewebview2.exe;175;106
10.8;32760;34880;audio-desktop.exe;48.4;13.4
10.8;32320;32760;msedgewebview2.exe;139.8;47.5
10.8;31280;32760;audio_server.exe;40.9;23.8
10.8;21324;32320;msedgewebview2.exe;22.3;3.4
10.8;34412;32320;msedgewebview2.exe;61;19.8
10.8;13916;32320;msedgewebview2.exe;40.8;12.6
10.8;33616;32320;msedgewebview2.exe;24.4;8.8
10.8;11792;32320;msedgewebview2.exe;175;106
16;32760;34880;audio-desktop.exe;48.4;13.4
16;32320;32760;msedgewebview2.exe;139.8;47.5
16;31280;32760;audio_server.exe;40.9;23.8
16;21324;32320;msedgewebview2.exe;22.3;3.4
16;34412;32320;msedgewebview2.exe;61;19.8
16;13916;32320;msedgewebview2.exe;40.8;12.6
16;33616;32320;msedgewebview2.exe;24.4;8.8
16;11792;32320;msedgewebview2.exe;175;106
21.2;32760;34880;audio-desktop.exe;48.3;13.3
21.2;32320;32760;msedgewebview2.exe;143.7;49.1
21.2;31280;32760;audio_server.exe;40.9;23.8
21.2;21324;32320;msedgewebview2.exe;16.6;3.1
21.2;34412;32320;msedgewebview2.exe;61;19.8
21.2;13916;32320;msedgewebview2.exe;40.8;12.6
21.2;33616;32320;msedgewebview2.exe;24.4;8.8
21.2;11792;32320;msedgewebview2.exe;175;106
